"RIVOLI","LIBELLE","COMMUNE","MOT_DIRECTEUR","STATUT","TENANT","ABOUTISSANT","PRESTATION_COLLECTE","TYPE_COLLECTE","OBS_PRESTATION_COLLECTE","BLEU_JOUR_COLLECTE","JAUNE_JOUR_COLLECTE","OBS_JOUR_COLLECTE","QUARTIER","OBS_QUARTIER"
"0396","Rue d'Arsonval","NANTES","Arsonval","PUBLIQUE","NANTES Boulevard Clovis Constant","NANTES Boulevard des Anglais","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Hauts Pavés - Saint Félix",""
"0398","Avenue Artémis","NANTES","Artémis","PRIVEE","ST-SEBASTIEN Rue de la Fonderie","","bacs bleus et bacs jaunes","unique","","jeudi","mercredi","","Nantes Sud",""
"0408","Rue Arthur III","NANTES","Arthur","PUBLIQUE","NANTES Quai François Mitterrand","NANTES Boulevard de la Prairie au Duc","TRI'SAC","unique","","mardi et vendredi","","","Ile de Nantes",""
"0412","Rue des Artisans","NANTES","Artisans","PUBLIQUE","NANTES Rue des Maraîchers","NANTES Rue Moriceau Thébault","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Doulon - Bottière",""
"2245","Cours des Arts","NANTES","Arts","PRIVEE","NANTES Rue des Olivettes","NANTES Impasse Juton","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"0414","Rue d'Ascain","NANTES","Ascain","PUBLIQUE","ST-SEBASTIEN Rue du Clos Toreau","","bacs bleus et bacs jaunes","unique","","jeudi","mercredi","","Nantes Sud",""
"0416","Impasse de l'Ascension","NANTES","Ascension","PRIVEE","NANTES Rue de Coulmiers","Impasse","TRI'SAC","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"0420","Avenue d'Assas","NANTES","Assas","PRIVEE","NANTES Rue Jean Danais","","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Dervallières - Zola",""
"0422","Avenue d'Assise","NANTES","Assise","PUBLIQUE","NANTES Rue de la Bourgeonnière","NANTES Place du Baut","TRI'SAC","unique","","lundi et jeudi","","","Nantes Nord",""
"0423","Avenue de l'Astérie","NANTES","Astérie","PRIVEE","NANTES Avenue de l'Albatros","","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Nantes Erdre",""
"7425","Rue Roger Astic","NANTES","Astic","PUBLIQUE","NANTES Rue Jules Grandjouan","","TRI'SAC","unique","","mardi et vendredi","","","Doulon - Bottière",""
"7184","Rue Reine Astrid","NANTES","Astrid","PUBLIQUE","NANTES Rue de la Patouillerie","ORVAULT Rue des Mimosas","TRI'SAC","unique","","lundi et jeudi","","","Breil - Barberie",""
"0424","Rue Athénas","NANTES","Athénas","PUBLIQUE","NANTES Rue Voltaire","NANTES Place de la Monnaie","extension tri'sac 2013","unique","","mardi et vendredi","","","Centre Ville",""
"0425","Rue d'Athènes","NANTES","Athènes","PUBLIQUE","NANTES Rue de la Garde","NANTES Rue de la Garde","bacs bleus et bacs jaunes","unique","","jeudi","mercredi","","Doulon - Bottière",""
